Country,Year,Exports of goods and services (current US$),External balance on goods and services (current US$),Final consumption expenditure (% of GDP),Migrant remittance inflows (% of GDP),GDP (current US$),GDP growth (annual %),"GDP per capita, PPP (current international $)",GNI (current US$),Imports of goods and services (current US$)
Eritrea,1966-01-01,,,,,,,,,
Eritrea,1967-01-01,,,,,,,,,
Eritrea,1968-01-01,,,,,,,,,
Eritrea,1969-01-01,,,,,,,,,
Eritrea,1970-01-01,,,,,,,,,
Eritrea,1971-01-01,,,,,,,,,
Eritrea,1972-01-01,,,,,,,,,
Eritrea,1973-01-01,,,,,,,,,
Eritrea,1974-01-01,,,,,,,,,
Eritrea,1975-01-01,,,,,,,,,
Eritrea,1976-01-01,,,,,,,,,
Eritrea,1977-01-01,,,,,,,,,
Eritrea,1978-01-01,,,,,,,,,
Eritrea,1979-01-01,,,,,,,,,
Eritrea,1980-01-01,,,,,,,,,
Eritrea,1981-01-01,,,,,,,,,
Eritrea,1982-01-01,,,,,,,,,
Eritrea,1983-01-01,,,,,,,,,
Eritrea,1984-01-01,,,,,,,,,
Eritrea,1985-01-01,,,,,,,,,
Eritrea,1986-01-01,,,,,,,,,
Eritrea,1987-01-01,,,,,,,,,
Eritrea,1988-01-01,,,,,,,,,
Eritrea,1989-01-01,,,,,,,,,
Eritrea,1990-01-01,,,,,,,,,
Eritrea,1991-01-01,,,,,,,,,
Eritrea,1992-01-01,54502214.5615604,-159972072.524164,125.719120135364,,477101651.648376,,,477101651.648376,214474287.085724
Eritrea,1993-01-01,142966419.337566,-191578061.65379,124.417559061555,,467872714.755603,13.4547625007102,,467872714.755603,334544480.991356
Eritrea,1994-01-01,148977272.727273,-291590909.090909,129.979848558867,,531688311.688312,21.2214111876814,,531888311.688312,440568181.818182
Eritrea,1995-01-01,129406250.0,-349968750.0,138.253183034628,,578015625.0,2.8583790589487,,585565625.0,479375000.0
Eritrea,1996-01-01,202746708.19765,-403291015.778627,130.560722224743,,693535954.190067,9.25883856340832,,685835952.616924,606037723.976277
Eritrea,1997-01-01,203302823.650328,-385705357.018847,124.904403701651,,686490090.140141,7.90868457794079,,683315115.487715,589008180.669176
Eritrea,1998-01-01,110594498.170854,-486517910.016015,132.971739580784,0.361037438541247,745523074.705326,1.77258309100318,,749830762.798684,597112408.18687
Eritrea,1999-01-01,65684298.3248767,-531779097.960168,131.676241431496,0.527492088482532,688918508.948029,0.0134800959108077,,695016538.623513,597463396.285045
Eritrea,2000-01-01,68310441.5584416,-342873246.753247,126.543365450038,0.518426587594697,706370815.584416,-3.14198590251638,,706846472.727273,411183688.311688
Eritrea,2001-01-01,81309111.4604177,-379561208.480297,115.188007302697,,752371683.199361,8.75543552816325,,750014009.299377,460870319.940715
Eritrea,2002-01-01,85922705.0204021,-386743251.708837,123.478868667512,,729321671.445917,3.0054291917378,,723218955.078535,472665956.729239
Eritrea,2003-01-01,56064248.0446132,-531923331.984286,134.579209043519,,870248293.678303,-2.65551592487554,,860583719.714802,587987580.0289
Eritrea,2004-01-01,64052293.7443336,-599112181.323663,133.757186484533,,1109054005.43971,1.45173556595506,,1093759651.85857,663164475.067996
Eritrea,2005-01-01,67725718.6237561,-535752306.48266,128.435164661064,,1098424709.48675,2.57444955124846,,1089002488.95155,603478025.106416
Eritrea,2006-01-01,83564227.6422764,-381053658.536585,117.780710725615,,1211161879.6748,-0.969217110711355,,1202459440.65041,464617886.178862
Eritrea,2007-01-01,76071544.7154472,-303343089.430894,110.342278951444,,1317974491.05691,1.42682221120323,,1310746757.72358,379414634.146341
Eritrea,2008-01-01,61125203.2520325,-299548403.252033,108.989896270961,,1380188800.0,-9.78303001782456,,1368434686.17886,360673606.504065
Eritrea,2009-01-01,84082757.7235772,-351191993.495935,109.6510979182,,1856695551.21951,3.8765015275421,,1840533600.0,435274751.219512
Eritrea,2010-01-01,101385281.300813,-392844169.105691,145.51703888898,,1589515447.15447,2.19419034888082,,1569887473.17073,494229450.406504
Eritrea,2011-01-01,374897684.552846,-228887167.479675,124.788679786075,,2065001626.01626,8.67980010138049,,2041455160.97561,603784852.03252
Eritrea,2012-01-01,,,,,,,,,
Eritrea,2013-01-01,,,,,,,,,
Eritrea,2014-01-01,,,,,,,,,
Eritrea,2015-01-01,,,,,,,,,
Eritrea,2016-01-01,,,,,,,,,
Eritrea,2017-01-01,,,,,,,,,
Eritrea,2018-01-01,,,,,,,,,
Eritrea,2019-01-01,,,,,,,,,
Eritrea,2020-01-01,,,,,,,,,
Eritrea,2021-01-01,,,,,,,,,
Eritrea,2022-01-01,,,,,,,,,
Ethiopia,1960-01-01,,,,,,,,,
Ethiopia,1961-01-01,,,,,,,,,
Ethiopia,1962-01-01,,,,,,,,,
Ethiopia,1963-01-01,,,,,,,,,
Ethiopia,1964-01-01,,,,,,,,,
Ethiopia,1965-01-01,,,,,,,,,
Ethiopia,1966-01-01,,,,,,,,,
Ethiopia,1967-01-01,,,,,,,,,
Ethiopia,1968-01-01,,,,,,,,,
Ethiopia,1969-01-01,,,,,,,,,
Ethiopia,1970-01-01,,,,,,,,,
Ethiopia,1971-01-01,,,,,,,,,
Ethiopia,1972-01-01,,,,,,,,,
Ethiopia,1973-01-01,,,,,,,,,
Ethiopia,1974-01-01,,,,,,,,,
Ethiopia,1975-01-01,,,,,,,,,
Ethiopia,1976-01-01,,,,,,,,,
Ethiopia,1977-01-01,,,,,,,,,
Ethiopia,1978-01-01,,,,,,,,,
Ethiopia,1979-01-01,,,,,,,,,
Ethiopia,1980-01-01,,,,,,,,,
Ethiopia,1981-01-01,,,,0.144213626162881,7324903191.9444,,,7317850051.84437,
Ethiopia,1982-01-01,,,,0.13326212749103,7707678023.04719,0.916013856738189,,7698885752.51154,
Ethiopia,1983-01-01,,,,0.12954043379086,8567890825.39512,8.23500571913686,,8554364255.34027,
Ethiopia,1984-01-01,,,,0.14309815012072,8096302370.73509,-2.84802145221472,,8076785462.51389,
Ethiopia,1985-01-01,,,,0.150954066249445,9480840483.09179,-11.1443529779265,,9447700386.47343,
Ethiopia,1986-01-01,,,,0.138891214019248,9848600869.56522,9.6616123612221,,9817322463.76812,
Ethiopia,1987-01-01,,,,0.0818471363591038,10527338647.343,13.8593303949746,,10480006666.6667,
Ethiopia,1988-01-01,,,,0.104419346014604,10908935748.7923,0.503674879297762,,10844346376.8116,
Ethiopia,1989-01-01,,,,0.0568379658984421,11476584879.2271,-0.36104417975227,,11396246714.9758,
Ethiopia,1990-01-01,,,,0.043181113862974,12175166763.285,2.72645178272658,414.651457526046,12108119661.8358,
Ethiopia,1991-01-01,,,,0.0730344123394336,13463868357.4879,-7.13747970027428,381.661247291586,13390412125.6039,
Ethiopia,1992-01-01,,,,0.144232184112801,10492993077.6093,-8.67248014788842,342.288398612716,10429217520.0714,
Ethiopia,1993-01-01,,,,0.245492221080685,8830712713.90781,13.1428339765154,383.334725080449,8734430671.62956,
Ethiopia,1994-01-01,,,,0.338467166090503,6927950564.55657,3.18996458217961,390.727908136444,6848460204.38158,
Ethiopia,1995-01-01,,,,0.354270169237125,7663984567.90123,6.12751141376545,409.691560275838,7603562639.92836,
Ethiopia,1996-01-01,,,,0.189756633550029,8547939730.62374,12.4261737774646,454.246287205945,8504359178.89306,
Ethiopia,1997-01-01,,,,0.107213602658404,8589233419.59411,3.13390685087593,461.883772466985,8492287692.06701,
Ethiopia,1998-01-01,,,,0.349981069267794,7818205971.60231,-3.45813913371742,437.338469855253,7751792444.55961,
Ethiopia,1999-01-01,,,,0.455687020800627,7700833482.00615,5.16214582105535,452.484476165329,7648343127.98732,
Ethiopia,2000-01-01,,,,0.655413919739139,8242349955.05111,6.07321747957957,476.528464196205,8182221496.31256,
Ethiopia,2001-01-01,,,,0.227686240475777,8231326016.47494,8.30130632052328,512.520781339025,8180069454.11753,
Ethiopia,2002-01-01,,,,0.424636271484654,7850809498.16803,1.51472570631101,513.120316650617,7797207615.85915,
Ethiopia,2003-01-01,,,,0.544214706811199,8623691300.04079,-2.16135972205798,497.275623822034,8557581131.63568,
Ethiopia,2004-01-01,,,,1.33271921090078,10131187261.4421,13.5726031368695,563.508562084278,10067656708.6258,
Ethiopia,2005-01-01,,,,1.41237616461969,12401139453.9738,11.8187659466494,631.673170550399,12365354408.4331,
Ethiopia,2006-01-01,,,,1.1375588166668,15280861834.6024,10.834727065877,701.600498674121,15242461910.6314,
Ethiopia,2007-01-01,,,,1.86544748249787,19707616772.7996,11.4561670000236,780.532556968826,19721806402.0923,
Ethiopia,2008-01-01,,,,1.49502544618091,27066912635.2228,10.7885216853725,856.659778813973,27086850118.9961,
Ethiopia,2009-01-01,,,,0.918639289495309,32437389116.038,8.80255319782566,912.108359381051,32395738209.0412,
Ethiopia,2010-01-01,,,,1.29876707012177,29933790334.3418,12.5505383459308,1010.02202703432,29825574928.2445,
Ethiopia,2011-01-01,5331910669.97519,-4747934243.17618,82.751559242302,1.69680321544505,31952763089.33,11.1782962271641,1114.04597197907,31883271774.1935,10079844913.1514
Ethiopia,2012-01-01,5962716169.22631,-7736727470.29846,80.7653421516977,,43310721414.0829,8.64781163337416,1191.44062232971,43214529006.0852,13699443639.5248
Ethiopia,2013-01-01,5948445849.18128,-7863699950.93132,82.4225180598128,,47648276190.2977,10.5822700482672,1261.11329988192,47541494762.5555,13812145800.1126
Ethiopia,2014-01-01,6474164234.1889,-9708696233.85338,79.464116915399,,55612228233.5179,10.2574929610051,1488.62575532765,55459432981.0435,16182860468.0423
Ethiopia,2015-01-01,6047701456.97486,-13518221715.3736,80.2582239654207,,64589329344.6937,10.3924630202334,1630.87746187943,64326829118.7808,19565923172.3485
Ethiopia,2016-01-01,5804121577.0604,-14320617321.858,77.6013218570025,,74296745599.0048,9.43348265784402,1848.66111635863,74054064227.2796,20124738898.9184
Ethiopia,2017-01-01,6238602388.0684,-12956510400.5022,77.6399426883444,,81770886908.5198,9.56418964295607,1987.96875367138,81285286019.9267,19195112788.5706
Ethiopia,2018-01-01,7055586649.08425,-12180289171.1517,75.9146883285056,,84269196152.0333,6.81614779681703,2117.15936214803,83891882426.4274,19235875820.236
Ethiopia,2019-01-01,7615438637.68393,-12406629414.9406,77.8753589611228,,95912607970.1686,8.3640856990789,2274.18556583461,95323017000.1641,20022068052.6246
Ethiopia,2020-01-01,7672983060.57996,-10498471943.0887,79.1727439123585,,107657734392.446,6.05953088643369,2379.44788754796,107045139885.794,18171455003.6686
Ethiopia,2021-01-01,8491174948.09812,-10053138592.737,81.0563420813944,,111261882913.342,5.64153071739351,2559.09732379261,110688250470.517,18544313540.8351
Ethiopia,2022-01-01,10453358910.8254,-12775638937.8403,84.7366593596337,,126783472501.134,5.31709602984485,2811.58174439039,126210515632.774,23228997848.6657
Kenya,1960-01-01,246049901.368436,-20370005.8344795,82.8570998374635,,791265458.813328,,,764959553.358313,266419907.202916
Kenya,1961-01-01,259433896.003328,12585994.9547781,83.2221106696974,,792959472.134266,-7.77463490371655,,770307593.214498,246847901.04855
Kenya,1962-01-01,278123874.511264,16603979.3441288,83.534389169446,,868111400.008864,9.45735874072126,,845025507.263075,261519895.167135
Kenya,1963-01-01,296813881.019188,28447988.5963393,83.9903388956225,,926589348.567393,8.77834021621184,,898911499.662336,268365892.422848
Kenya,1964-01-01,333479880.321255,41719997.2761219,82.7586315168769,,998759333.637333,4.96446728844091,,969023471.557251,291759883.045133
Kenya,1965-01-01,313319874.402595,6999997.19398112,84.9046113649302,,997919319.974061,2.00909417103099,,971879330.412451,306319877.208614
Kenya,1966-01-01,377439848.699462,17919992.8165917,79.850892059282,,1164519673.19064,14.7285664015687,,1130079686.99626,359519855.88287
Kenya,1967-01-01,350839859.362334,-11199995.5103698,80.7360517946388,,1232559505.9162,3.36123203258556,,1194059507.34931,362039854.872704
Kenya,1968-01-01,397879840.505887,1399999.43879622,79.8477095919887,,1353295457.51798,7.9826899693479,,1313695451.39204,396479841.067091
Kenya,1969-01-01,430639827.373719,20999991.5819434,79.1878563885956,,1458379415.39403,7.9592244594956,,1431879414.01682,409639835.791775
Kenya,1970-01-01,478239808.29279,-13439994.6124438,76.4415097963888,,1603447357.24209,-4.65544691647621,,1580547356.42179,491679802.905234
Kenya,1971-01-01,509319796.431619,-116480233.444392,82.6337421670813,,1778391289.20054,22.1738919255764,,1753793803.03183,625800029.876011
Kenya,1972-01-01,560279775.966529,-45079981.9743184,79.8033483922402,,2107279157.38336,17.082429349983,,2073233256.99695,605359757.940847
Kenya,1973-01-01,687311707.747939,-31994267.6471021,75.4639644768302,,2509001444.1602,5.89658021016672,,2406644583.46829,719305975.395042
Kenya,1974-01-01,1000159880.07607,-214479634.238173,81.4650702366362,,2969958812.43227,4.06561734893735,,2868923022.83244,1214639514.31424
Kenya,1975-01-01,972056798.310099,-152794696.969184,86.5463399348208,0.175482577074268,3259344935.75357,0.882203175319148,,3166423699.839,1124851495.27928
Kenya,1976-01-01,1127505379.78481,24142285.0948703,79.0657711887727,0.20638414967726,3474542392.04597,2.15396450322561,,3332518977.83259,1103363094.68994
Kenya,1977-01-01,1571184005.44674,151270560.967342,72.8533792139362,0.0806494972872126,4494378855.32203,9.45379784408087,,4336117057.15223,1419913444.47939
